id,game,start_date,end_date,game title,start of free,end of free
431.0,Tandem: A Tale of Shadows,26/10/2023,02/11/2023,,,
432.0,The Evil Within 2,26/10/2023,02/11/2023,,,
433.0,F.I.S.T.: Forged In Shadow Torch,02/11/2023,09/11/2023,,,
434.0,Turnip Boy Commits Tax Evasion,02/11/2023,09/11/2023,,,
435.0,Earthlock,09/11/2023,16/11/2023,,,
436.0,Golden Light,09/11/2023,16/11/2023,,,
437.0,Deliver Us Mars,16/11/2023,23/11/2023,,,
438.0,Surviving the Aftermath,16/11/2023,23/11/2023,,,
439.0,Jitsu Squad,23/11/2023,30/11/2023,,,
440.0,Mighty Fight Federation,23/11/2023,30/11/2023,,,
441.0,GigaBash,30/11/2023,07/12/2023,,,
442.0,Predecessor,30/11/2023,07/12/2023,,,
443.0,Destiny 2: Legacy Collection,07/12/2023,14/12/2023,,,
444.0,DNF Duel,20/12/2023,21/12/2023,,,
445.0,Melvor Idle,21/12/2023,22/12/2023,,,
446.0,20 Minutes Till Dawn,21/12/2023,31/12/2023,,,
447.0,A Plague Tale: Innocence (repeat),21/12/2023,31/12/2023,,,
