id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
97,World War Z,26/03/2020,02/04/2020,29.99,Saber Interactive Inc,2020,38.0873,2019-04-16,74.0,N/A,Standalone,,False
98,Drawful 2,02/04/2020,09/04/2020,9.99,"Jackbox Games, Inc.",2020,12.6873,2016-06-21,77.5,N/A,Standalone,,False
99,Gone Home,02/04/2020,09/04/2020,14.99,Fullbright,2020,19.037300000000002,2013-08-15,73.8,N/A,Standalone,,False
100,Hob,02/04/2020,09/04/2020,19.99,Arc Games,2020,25.3873,2017-09-26,72.125,N/A,Standalone,,False
101,Totally Reliable Delivery Service,02/04/2020,09/04/2020,14.99,Infogrames,2020,19.037300000000002,2020-04-01,50.0,N/A,Standalone,,False
102,Close to the Sun,09/04/2020,16/04/2020,19.99,Wired Productions,2020,25.3873,2019-05-02,60.6,N/A,Standalone,,False
103,Sherlock Holmes: Crimes and Punishments,09/04/2020,16/04/2020,29.99,Frogwares,2020,38.0873,2014-09-29,74.71428571428571,N/A,Standalone,,False
104,Just Cause 4,16/04/2020,23/04/2020,59.99,Square Enix,2020,76.18730000000001,2018-12-04,69.4,N/A,No Future Sequel Found,,False
105,Wheels of Aurelia,16/04/2020,23/04/2020,14.99,Santa Ragione,2020,19.037300000000002,2016-09-20,60.0,N/A,Standalone,,False
106,For the King,23/04/2020,30/04/2020,19.99,Ironoak Games,2020,25.3873,2018-04-19,76.0,2023-11-02,For the King II,1288.0,False
107,Amnesia: The Dark Descent,30/04/2020,07/05/2020,19.99,Frictional Games,2020,25.3873,2010-09-08,89.0,2020-10-20,Amnesia: Rebirth,173.0,False
108,Crashlands,30/04/2020,07/05/2020,14.99,Butterscotch Shenanigans,2020,19.037300000000002,2016-01-20,79.5,2025-04-10,Crashlands 2,1806.0,False
109,Death Coming,07/05/2020,14/05/2020,6.99,Next Studios,2020,8.8773,2017-11-06,70.0,N/A,Standalone,,False
110,Grand Theft Auto V,14/05/2020,21/05/2020,29.99,Rockstar Games,2020,38.0873,2022-04-12,88.0,N/A,Standalone,,False
111,Sid Meier's Civilization VI,21/05/2020,28/05/2020,59.99,2K,2020,76.18730000000001,2016-10-20,87.4,N/A,Standalone,,False
112,Borderlands 2,28/05/2020,04/06/2020,19.99,2K,2020,25.3873,2012-09-18,80.70588235294117,2020-05-29,Borderlands Legendary Collection,1.0,True
113,Borderlands: The Handsome Collection,28/05/2020,04/06/2020,59.99,2K,2020,76.18730000000001,2015-03-24,84.0,2020-05-29,Borderlands Legendary Collection,1.0,True
114,Borderlands: The Pre-Sequel,28/05/2020,04/06/2020,39.99,2K,2020,50.7873,2014-10-14,75.46666666666667,2020-05-29,Borderlands Legendary Collection,1.0,True
115,Overcooked!,04/06/2020,11/06/2020,16.99,Team17 Digital Ltd,2020,21.577299999999997,2016-08-03,81.53846153846153,N/A,Standalone,,False
