id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
100,For the King,23/04/2020,30/04/2020,19.99,Ironoak Games,19/04/2018,76.0,25.3873,02/11/2023,For the King II,2020,1024.0,False
101,Amnesia: The Dark Descent,30/04/2020,07/05/2020,19.99,Frictional Games,08/09/2010,89.0,25.3873,20/10/2020,Amnesia: Rebirth,2020,,False
102,Crashlands,30/04/2020,07/05/2020,14.99,Butterscotch Shenanigans,20/01/2016,79.5,19.037300000000002,10/04/2025,Crashlands 2,2020,1983.0,False
103,Death Coming,07/05/2020,14/05/2020,6.99,Next Studios,2017-11-06,70.0,8.8773,N/A,Standalone,2020,,False
104,Grand Theft Auto V,14/05/2020,21/05/2020,29.99,Rockstar Games,2022-04-12,88.0,38.0873,N/A,Standalone,2020,,False
105,Sid Meier's Civilization VI,21/05/2020,28/05/2020,59.99,2K,2016-10-20,87.4,76.18730000000001,N/A,Standalone,2020,,False
106,Borderlands: The Handsome Collection,28/05/2020,04/06/2020,59.99,2K,24/03/2015,84.0,76.18730000000001,29/05/2020,Borderlands Legendary Collection,2020,,False
107,Overcooked!,04/06/2020,11/06/2020,16.99,Team17 Digital Ltd,2016-08-03,81.53846153846153,21.577299999999997,N/A,Standalone,2020,,False
108,Ark: Survival Evolved,11/06/2020,18/06/2020,14.99,Studio Wildcard,2017-08-27,68.875,19.037300000000002,N/A,Standalone,2020,,False
109,Samurai Shodown NeoGeo Collection,11/06/2020,18/06/2020,39.99,Snk Corporation,18/06/2020,80.0,50.7873,18/06/2020,Samurai Shodown NeoGeo Collection,2020,,False
110,Pathway,18/06/2020,25/06/2020,15.99,Chucklefish,2019-11-4,74.0,20.3073,N/A,Standalone,2020,,False
111,AER: Memories of Old,25/06/2020,02/07/2020,14.99,Daedalic Entertainment,2017-10-25,68.0,19.037300000000002,N/A,Standalone,2020,,False
112,Stranger Things 3: The Game,25/06/2020,02/07/2020,0.0,Netflix Games,2019-07-04,61.25,0.0,N/A,Standalone,2020,,False
113,Hue,02/07/2020,09/07/2020,14.99,Curve Games,2016-08-30,77.875,19.037300000000002,N/A,Standalone,2020,,False
114,Killing Floor 2,09/07/2020,16/07/2020,29.99,Tripwire Interactive,18/11/2016,80.76923077,38.0873,24/07/2025,Killing Floor 3,2020,,False
115,Lifeless Planet: Premier Edition,09/07/2020,16/07/2020,9.99,Serenity Forge,2015-05-13,64.75,12.6873,N/A,Standalone,2020,,False
116,The Escapists 2,09/07/2020,16/07/2020,19.99,Team17 Digital Ltd,2017-08-22,75.44444444444444,25.3873,N/A,Standalone,2020,,False
117,Torchlight II,16/07/2020,23/07/2020,19.99,Xd,2012-09-20,85.61538461538461,25.3873,N/A,Standalone,2020,,False
118,Next Up Hero,23/07/2020,30/07/2020,19.99,Digital Continue,2018-06-28,74.0,25.3873,N/A,Standalone,2020,,False
119,Tacoma,23/07/2020,30/07/2020,19.99,Fullbright,2017-08-02,78.1875,25.3873,N/A,Standalone,2020,,False
120,20XX,30/07/2020,06/08/2020,14.99,Batterystaple Games,2017-08-16,75.33333333333333,19.037300000000002,N/A,Standalone,2020,,False
121,Barony,30/07/2020,06/08/2020,19.99,Turning Wheel Llc,2015-06-23,72.0,25.3873,N/A,Standalone,2020,,False
122,Superbrothers: Sword & Sworcery EP,30/07/2020,06/08/2020,7.99,Capybara Games,2011-03-24,77.0,10.1473,N/A,Standalone,2020,,False
123,3 out of 10: Season One,06/08/2020,13/08/2020,0.0,Terrible Posture Games,03/09/2020,80.0,0.0,13/08/2020,"3 out of 10, EP 2: ""Foundation 101""",2020,,False
124,Wilmot's Warehouse,06/08/2020,13/08/2020,14.99,Finji,2019-08-28,85.0,19.037300000000002,N/A,Standalone,2020,,False
125,Remnant: From the Ashes,13/08/2020,20/08/2020,39.99,Arc Games,2019-08-20,76.35714285714286,50.7873,N/A,Standalone,2020,,False
126,The Alto Collection,13/08/2020,20/08/2020,9.99,Snowman,2020-08-13,80.0,12.6873,N/A,Standalone,2020,,False
127,Enter the Gungeon,20/08/2020,27/08/2020,14.99,Devolver Digital,2016-04-05,82.46153846153847,19.037300000000002,N/A,No Future Sequel Found,2020,,False
128,God's Trigger,20/08/2020,27/08/2020,14.99,Techland Publishing,2019-04-18,90.0,19.037300000000002,N/A,Standalone,2020,,False
129,Hitman (2016),27/08/2020,03/09/2020,29.99,Square Enix,2016-03-11,79.0,38.0873,N/A,Standalone,2020,,False
130,Shadowrun Collection,27/08/2020,03/09/2020,39.99,Paradox Interactive,2020-08-27,76.0,50.7873,N/A,Standalone,2020,,False
131,Into the Breach,03/09/2020,10/09/2020,14.99,Subset Games,2018-02-27,90.0,19.037300000000002,N/A,Standalone,2020,,False
132,Railway Empire,10/09/2020,17/09/2020,29.99,Kalypso Media,26/01/2018,85.0,38.0873,25/05/2023,Railway Empire 2,2020,,False
133,Where the Water Tastes Like Wine,10/09/2020,17/09/2020,19.99,Good Shepherd Entertainment,2018-02-28,70.33333333333333,25.3873,N/A,Standalone,2020,,False
134,A Total War Saga: Troy,13/09/2020,13/09/2020,49.99,Sega,2020-08-13,76.25,63.487300000000005,N/A,Standalone,2020,,False
135,Football Manager 2020,17/09/2020,24/09/2020,5.49,Sega,19/11/2019,88.5,6.972300000000001,24/11/2020,Football Manager 2021,2020,,False
