ï»¿id,game,start_date,end_date,price,seller,year,real_value,id
201,Pine,2021-05-06,13/05/2021,24.99,Maximum Entertainment,2021,30.487799999999996,0
202,The Lion's Song,2021-05-13,20/05/2021,7.99,Mi'Pu'Mi Games Gmbh,2021,9.7478,0
203,NBA 2K21,2021-05-20,27/05/2021,0.0,Unknown Publisher,2021,0.0,0
204,Among Us,2021-05-27,03/06/2021,4.99,Innersloth,2021,6.0878000000000005,0
205,Frostpunk,2021-06-03,10/06/2021,29.99,11 Bit Studios,2021,36.587799999999994,0
206,Control,2021-06-10,17/06/2021,4.99,Valve,2021,6.0878000000000005,0
207,Hell is Other Demons,2021-06-17,24/06/2021,9.99,Cuddle Monster Games,2021,12.1878,0
208,Overcooked! 2,2021-06-17,24/06/2021,24.99,Team17,2021,30.487799999999996,0
209,Horizon Chase Turbo,2021-06-24,01/07/2021,19.99,Aquiris,2021,24.3878,0
210,Sonic Mania,2021-06-24,01/07/2021,19.99,Sega,2021,24.3878,0
211,The Spectrum Retreat,2021-07-01,08/07/2021,12.99,Ripstone,2021,15.8478,0
212,Bridge Constructor: The Walking Dead,2021-07-08,15/07/2021,9.99,Headup,2021,12.1878,0
213,Ironcast,2021-07-08,15/07/2021,14.99,Ripstone,2021,18.2878,0
214,Obduction,2021-07-15,22/07/2021,29.99,Cyan Inc.,2021,36.587799999999994,0
215,Offworld Trading Company,2021-07-15,22/07/2021,29.99,Stardock Entertainment,2021,36.587799999999994,0
216,Defense Grid: The Awakening (repeat),2021-07-22,29/07/2021,0.0,Unknown Publisher,2021,0.0,0
217,Verdun,2021-07-22,29/07/2021,19.99,Blackmill Games,2021,24.3878,0
218,Mothergunship,2021-07-29,05/08/2021,24.99,Terrible Posture Games,2021,30.487799999999996,0
219,Train Sim World 2,2021-07-29,05/08/2021,19.99,Dovetail Games - Tsw,2021,24.3878,0
220,A Plague Tale: Innocence,2021-08-05,12/08/2021,39.99,Focus Entertainment,2021,48.787800000000004,0
221,Minit,2021-08-05,12/08/2021,9.99,Devolver Digital,2021,12.1878,0
222,Rebel Galaxy,2021-08-12,19/08/2021,19.99,Double Damage Games,2021,24.3878,0
223,Void Bastards,2021-08-19,26/08/2021,29.99,Blue Manchu,2021,36.587799999999994,0
224,Yooka-Laylee,2021-08-19,26/08/2021,19.99,Playtonic Friends,2021,24.3878,0
225,Automachef,2021-08-26,02/09/2021,14.99,Team17 Digital Ltd,2021,18.2878,0
226,Saints Row: The Third Remastered,2021-08-26,02/09/2021,29.99,Deep Silver,2021,36.587799999999994,0
227,Yoku's Island Express,2021-09-02,09/09/2021,19.99,Team17 Digital Ltd,2021,24.3878,0
228,Nioh: The Complete Edition,2021-09-09,16/09/2021,49.99,"Koei Tecmo Games Co., Ltd.",2021,60.9878,0
229,Sheltered,2021-09-09,16/09/2021,14.99,Team17 Digital Ltd,2021,18.2878,0
230,Speed Brawl,2021-09-16,23/09/2021,19.99,Double Stallion,2021,24.3878,0
231,Tharsis,2021-09-16,23/09/2021,14.99,Choice Provisions,2021,18.2878,0
232,The Escapists,2021-09-23,30/09/2021,17.99,Team17,2021,21.947799999999997,0
233,Europa Universalis IV,2021-09-30,07/10/2021,49.99,Paradox Interactive,2021,60.9878,0
234,PC Building Simulator,2021-10-07,14/10/2021,19.99,The Irregular Corporation,2021,24.3878,0
